title,personal_rating,imdb,year,genre,duration,budget,box_office,fan_rating
Desde mi cielo,100,6.6,2009,drama,135,65.0,94.894448,87.88888888888889
Scream V,85,6.3,2022,terror,114,24.0,137.7,89.9
Johnny English Reborn,85,6.3,2011,comedy,101,45.0,160.078586,84.92307692307692
Johnny English Strikes Again,90,6.2,2018,comedy,89,25.0,158.953864,85.57142857142857
El origen ,100,8.8,2010,fiction,148,160.0,839.0,95.33333333333333
Batman Inicia ,93,8.2,2005,action,160,150.0,374.218673,93.26315789473684
Batman El Caballero de la Noche,100,9.0,2008,action,152,180.0,1004.558444,96.3529411764706
Batman El Caballero de la Noche Asciende,97,8.4,2012,action,165,260.0,1084.439099,89.3529411764706
Princesa por accidente,80,5.8,2010,romance,109,20.0,39.7,89.38461538461539
Piratas del Caribe La maldición del Perla Negra,94,8.1,2003,adventure,183,0.14,0.655,89.72222222222223
Twilight Saga,96,5.3,2008,romance,122,370.0,0.4084,73.29411764705883
Ratatouille,95,8.1,2007,kids,111,150.0,630.7,89.35
Cars ,95,8.7,2006,kids,113,120.0,462.0,79.89473684210526
Jaws,90,8.1,1975,suspense,124,20.0,476.5,84.625
Mulan ,93,7.6,1998,kids,88,90.0,304.3,92.47368421052632
Enredados ,92,7.7,2010,kids,100,260.0,641.1,89.5
Piratas del Caribe: En el fin del mundo,100,7.1,2007,adventure,168,300.0,963.4,93.05
Rocky,96,8.1,1976,drama,119,1.075,225.0,91.3529411764706
El diario de la princesa ,95,6.4,2001,romance,115,26.0,165.0,90.5
Karate kid,93,7.3,1984,drama,126,8.0,130.8,89.0
Scarface ,96,8.3,1983,crime,170,25.0,66.0,96.42857142857143
Pulp fiction,98,8.9,1994,crime,154,8.5,213.9,95.92307692307692
Grinch,92,6.4,2018,kids,85,75.0,511.303509,88.58333333333333
Pitch perfect,94,7.1,2012,comedy,112,17.0,115.4,89.07142857142857
Jurassic Park,95,8.2,1993,fiction,127,63.0,1.046,90.11111111111111
Back to the future,90,8.5,1985,fiction,114,19.0,388.8,96.21052631578948
Mission impossible ,88,7.1,1996,action,110,178.0,792.0,83.11764705882354
La la land,87,8.0,2016,romance,128,30.0,400.0,87.25
"Tick, tick... boom!",85,7.5,2021,biography,115,55.0,115.686,82.5
Harry Potter and the Sorcerer's Stone,90,7.6,2001,fantasy,152,120.0,974.8,90.3
Pixeles,90,5.6,2015,science_fiction,105,129.0,243.644467,86.65
Escalofríos,85,6.3,2015,fantasy,103,84.0,158.3,85.55
Gigantes de acero,85,7.1,2011,action,127,110.0,299.3,84.3
Shrek 2,87,7.3,2004,adventure,93,150.0,935.3,81.63157894736842
Shrek Tercero,90,6.1,2007,adventure,93,160.0,813.4,85.05263157894737
Shrek 4,85,6.3,2010,adventure,95,135.0,756.2,86.10526315789474
Buscando a Dory,80,7.2,2016,kids,97,200.0,1029.0,87.21052631578948
